ï1;Epervier;"2017-05-30 07:20:45";"2017-05-30 00:00:00";;;1
2;test2;"2017-05-30 07:27:41";"2017-06-02 00:00:00";;;5
3;;"2017-05-30 07:48:34";"2017-06-01 00:00:00";;;2
4;Test;"2017-05-30 08:57:52";"2017-05-30 00:00:00";;;1
5;Test;"2017-05-30 08:59:03";"2017-05-30 00:00:00";;;1
6;Test;"2017-05-30 09:13:57";"2017-05-30 00:00:00";;;1
7;Test;"2017-05-30 09:15:49";"2017-05-30 00:00:00";;;1
8;Test;"2017-05-30 09:16:51";"2017-05-30 00:00:00";;;1
9;Test;"2017-05-30 09:17:46";"2017-05-30 00:00:00";;;1
10;Test;"2017-05-30 09:18:43";"2017-05-30 00:00:00";;;1
11;Test;"2017-05-30 09:19:03";"2017-05-30 00:00:00";;;1
12;Test;"2017-05-30 09:34:07";"2017-05-30 00:00:00";;;1
13;Test;"2017-05-30 09:36:07";"2017-05-30 00:00:00";;;1
14;Test;"2017-05-30 09:36:44";"2017-05-30 00:00:00";;;1
15;"Test detail";"2017-05-30 09:38:55";"2017-05-17 00:00:00";;;20
16;;"2017-05-30 09:40:51";"2017-05-30 00:00:00";;;1
17;"Test observation";"2017-05-30 09:45:10";"2017-06-09 00:00:00";;;3
18;;"2017-05-30 09:46:05";"2017-05-30 00:00:00";;;1
19;;"2017-05-30 09:48:29";"2017-05-30 00:00:00";;;1
20;;"2017-05-30 09:53:27";"2017-05-30 00:00:00";;;3
21;;"2017-05-30 09:57:31";"2017-05-30 00:00:00";;;1
22;;"2017-05-30 10:00:57";"2017-05-30 00:00:00";;;1
23;;"2017-05-30 10:03:48";"2017-05-30 00:00:00";;;1
24;;"2017-05-30 10:05:50";"2017-05-30 00:00:00";;;1
25;;"2017-05-30 10:08:08";"2017-05-30 00:00:00";;;1
26;;"2017-05-30 10:09:13";"2017-05-30 00:00:00";;;1
27;;"2017-05-30 10:10:30";"2017-05-30 00:00:00";;;1
28;;"2017-05-30 10:13:37";"2017-06-02 00:00:00";;;1
29;;"2017-05-30 10:14:42";"2017-05-30 00:00:00";;;1
31;"Test picture";"2017-05-30 14:21:55";"2017-05-18 00:00:00";;;3
32;"Vue vers Lyon";"2017-05-30 14:52:46";"2017-05-30 00:00:00";;;9
33;Test;"2017-05-30 17:13:47";"2017-06-01 00:00:00";;;1
34;;"2017-05-30 17:59:15";"2017-05-30 00:00:00";;;1
35;;"2017-05-30 18:10:48";"2017-05-30 00:00:00";;;1
36;"Observation test";"2017-05-30 18:12:01";"2017-06-02 00:00:00";;;3
37;"Observation test 3";"2017-05-30 18:15:12";"2017-06-02 00:00:00";;;4
38;;"2017-05-31 07:05:36";"2017-05-31 00:00:00";;;1
39;"Latitute test";"2017-05-31 07:25:57";"2017-05-31 00:00:00";;;1
40;"Test pour gallery";"2017-06-01 12:38:29";"2017-06-01 00:00:00";;;1
41;;"2017-06-01 12:43:09";"2017-06-01 00:00:00";;;4
42;;"2017-06-05 18:19:16";"2017-06-05 00:00:00";;;1
43;;"2017-06-06 17:26:14";"2017-06-06 00:00:00";;;1
44;"TEst Bonelli";"2017-06-06 17:28:35";"2017-06-06 00:00:00";;;4
45;"Test Acii";"2017-06-06 18:49:28";"2017-06-06 00:00:00";;;3
46;"test flash message";"2017-06-13 12:04:41";"2017-06-16 00:00:00";;;3
47;"test prise de photo";"2017-06-13 13:52:59";"2017-06-01 00:00:00";"2017-06-19 14:49:25";1;1
48;"test du site";"2017-06-15 17:48:25";"2017-06-20 00:00:00";;;5
49;;"2017-06-15 18:16:55";"2017-06-03 00:00:00";;;1
50;;"2017-06-15 18:34:51";"2017-06-16 00:00:00";;;2
51;;"2017-06-19 09:10:33";"2017-06-19 00:00:00";;;1
52;;"2017-06-19 09:36:38";"2017-06-01 00:00:00";;;1
53;;"2017-06-19 09:37:56";"2017-06-14 00:00:00";;;1
54;;"2017-06-19 09:38:27";"2017-06-01 00:00:00";;;1
55;;"2017-06-19 12:36:52";"2017-06-08 00:00:00";;;1
56;;"2017-06-21 09:22:08";"2017-06-01 00:00:00";"2017-06-21 09:22:08";1;1
57;;"2017-06-21 09:22:37";"2017-06-03 00:00:00";"2017-06-21 09:22:37";1;1
58;;"2017-06-28 14:50:28";"2017-06-02 00:00:00";;;2
59;"test 12";"2017-06-28 14:51:49";"2017-06-23 00:00:00";"2017-06-28 14:52:22";1;3
60;p1;"2017-07-03 05:53:05";"2017-07-06 00:00:00";"2017-07-03 05:53:05";1;4
61;;"2017-07-03 06:00:02";"2017-07-08 00:00:00";"2017-07-03 06:00:02";1;1
62;;"2017-07-03 06:02:42";"2017-07-08 00:00:00";"2017-07-03 06:02:42";1;1
63;;"2017-07-03 06:07:07";"2017-07-08 00:00:00";"2017-07-03 06:07:07";1;1
64;;"2017-07-03 06:08:29";"2017-07-11 00:00:00";"2017-07-03 06:08:29";1;1
65;;"2017-07-03 06:11:28";"2017-07-27 00:00:00";"2017-07-03 06:11:28";1;1
66;;"2017-07-03 06:15:50";"2017-07-27 00:00:00";"2017-07-03 06:15:50";1;1
67;;"2017-07-03 06:23:44";"2017-07-27 00:00:00";"2017-07-03 06:23:44";1;1
68;;"2017-07-03 06:25:16";"2017-07-27 00:00:00";"2017-07-03 06:25:16";1;4
69;;"2017-07-03 06:41:37";"2017-07-27 00:00:00";"2017-07-03 06:41:37";1;9
70;;"2017-07-03 06:59:44";"2017-07-06 00:00:00";"2017-07-03 06:59:44";1;1
71;P10;"2017-07-03 07:01:32";"2017-07-27 00:00:00";"2017-07-03 07:01:32";1;10
72;;"2017-07-03 07:07:10";"2017-07-13 00:00:00";"2017-07-03 07:07:10";1;15
91;;"2017-07-03 20:36:06";"2017-07-01 00:00:00";"2017-07-03 20:36:06";1;3
92;;"2017-07-03 20:37:00";"2017-07-01 00:00:00";"2017-07-03 20:37:00";1;1
93;"Test 1";"2017-07-03 20:38:26";"2017-07-08 00:00:00";"2017-07-03 20:38:26";1;4
94;"Test 1";"2017-07-03 20:39:25";"2017-07-08 00:00:00";"2017-07-03 20:39:25";1;4
95;;"2017-07-03 20:41:41";"2017-07-01 00:00:00";"2017-07-03 20:41:41";1;3
96;;"2017-07-03 20:42:07";"2017-07-01 00:00:00";"2017-07-03 20:42:07";1;3
97;;"2017-07-03 20:42:32";"2017-07-01 00:00:00";"2017-07-03 20:42:32";1;3
98;;"2017-07-03 20:43:37";"2017-07-07 00:00:00";"2017-07-03 20:43:37";1;1
99;;"2017-07-03 20:48:39";"2017-07-07 00:00:00";"2017-07-03 20:48:39";1;1
100;;"2017-07-03 20:50:12";"2017-07-06 00:00:00";"2017-07-03 20:50:12";1;1
101;;"2017-07-03 20:54:21";"2017-07-05 00:00:00";"2017-07-03 20:54:21";1;2
102;;"2017-07-03 20:58:31";"2017-07-06 00:00:00";"2017-07-03 20:58:31";1;1
103;;"2017-07-03 20:59:11";"2017-07-06 00:00:00";"2017-07-03 20:59:11";1;1
104;;"2017-07-04 06:11:20";"2017-07-06 00:00:00";"2017-07-04 06:11:20";1;1
105;;"2017-07-04 06:12:38";"2017-07-27 00:00:00";"2017-07-04 06:12:38";1;1
106;;"2017-07-04 06:27:54";"2017-07-27 00:00:00";"2017-07-04 06:27:54";1;1
107;;"2017-07-04 06:51:35";"2017-07-06 00:00:00";"2017-07-04 06:51:35";1;1
108;;"2017-07-04 06:58:11";"2017-07-06 00:00:00";"2017-07-04 06:58:11";1;1
109;;"2017-07-04 06:58:52";"2017-07-06 00:00:00";"2017-07-04 06:58:52";1;1
110;;"2017-07-04 06:59:16";"2017-07-06 00:00:00";"2017-07-04 06:59:16";1;1
111;;"2017-07-04 06:59:46";"2017-07-06 00:00:00";"2017-07-04 06:59:46";1;1
112;;"2017-07-04 07:00:18";"2017-07-06 00:00:00";"2017-07-04 07:00:18";1;1
113;;"2017-07-04 07:00:32";"2017-07-06 00:00:00";"2017-07-04 07:00:32";1;1
114;;"2017-07-04 07:03:01";"2017-07-06 00:00:00";"2017-07-04 07:03:01";1;1
115;;"2017-07-04 14:08:14";"2017-07-13 00:00:00";"2017-07-04 14:08:14";1;1
116;;"2017-07-04 14:12:31";"2017-07-27 00:00:00";"2017-07-04 14:12:31";1;1
117;;"2017-07-04 14:47:05";"2017-07-26 00:00:00";"2017-07-04 14:47:05";1;1
118;;"2017-07-05 05:08:43";"2017-07-01 00:00:00";"2017-07-05 05:08:43";1;2
119;;"2017-07-05 05:10:17";"2017-07-27 00:00:00";"2017-07-05 05:10:17";1;2
120;;"2017-07-05 10:11:01";"2017-07-04 00:00:00";"2017-07-05 10:11:01";1;1
121;"Test OK";"2017-07-05 10:14:56";"2017-07-05 00:00:00";"2017-07-05 10:14:56";1;5
122;"Test ap";"2017-07-05 15:43:36";"2017-07-05 00:00:00";"2017-07-05 15:43:36";1;3
123;;"2017-07-06 08:18:20";"2017-07-06 00:00:00";;1;3
